model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
ConvNetBN,fc,random,dog-bird,42,0.002,100,0.0313725,2540,0.001182038802653551,0,0,0.8068,0.0,0.1750209480524063,0.031372517347335815
ConvNetBN,fc,random,dog-bird,42,0.002,100,0.0313725,2540,0.001182038802653551,1,0,0.7744,0.0,0.1750209480524063,0.031372517347335815
ConvNetBN,fc,random,dog-bird,42,0.002,100,0.0313725,2540,0.001182038802653551,2,0,0.8069,0.0,0.1750209480524063,0.031372517347335815
ConvNetBN,fc,random,dog-bird,42,0.002,100,0.0313725,2540,0.001182038802653551,3,0,0.7963,0.0,0.1750209480524063,0.031372517347335815
ConvNetBN,fc,random,dog-bird,42,0.002,100,0.0313725,3725,6.882719958412054e-07,0,0,0.8088,0.0,0.2378404438495636,0.031372517347335815
ConvNetBN,fc,random,dog-bird,42,0.002,100,0.0313725,3725,6.882719958412054e-07,1,0,0.8033,0.0,0.2378404438495636,0.031372517347335815
ConvNetBN,fc,random,dog-bird,42,0.002,100,0.0313725,3725,6.882719958412054e-07,2,0,0.7938,0.0,0.2378404438495636,0.031372517347335815
ConvNetBN,fc,random,dog-bird,42,0.002,100,0.0313725,3725,6.882719958412054e-07,3,0,0.8002,0.0,0.2378404438495636,0.031372517347335815
ConvNetBN,fc,random,dog-bird,42,0.002,100,0.0313725,3875,8.299622095364612e-06,0,0,0.8011,0.0,0.19057749211788177,0.031372517347335815
ConvNetBN,fc,random,dog-bird,42,0.002,100,0.0313725,3875,8.299622095364612e-06,1,0,0.7997,0.0,0.19057749211788177,0.031372517347335815
ConvNetBN,fc,random,dog-bird,42,0.002,100,0.0313725,3875,8.299622095364612e-06,2,0,0.8066,0.0,0.19057749211788177,0.031372517347335815
ConvNetBN,fc,random,dog-bird,42,0.002,100,0.0313725,3875,8.299622095364612e-06,3,0,0.791,0.0,0.19057749211788177,0.031372517347335815
ConvNetBN,fc,random,dog-bird,42,0.002,100,0.0313725,5169,4.304568435031797e-08,0,0,0.7878,0.0,0.11339273303747177,0.031372517347335815
ConvNetBN,fc,random,dog-bird,42,0.002,100,0.0313725,5169,4.304568435031797e-08,1,0,0.7884,0.0,0.11339273303747177,0.031372517347335815
ConvNetBN,fc,random,dog-bird,42,0.002,100,0.0313725,5169,4.304568435031797e-08,2,0,0.8069,0.0,0.11339273303747177,0.031372517347335815
ConvNetBN,fc,random,dog-bird,42,0.002,100,0.0313725,5169,4.304568435031797e-08,3,0,0.8132,0.0,0.11339273303747177,0.031372517347335815
ConvNetBN,fc,random,dog-bird,42,0.002,100,0.0313725,5705,1.8982251503985026e-07,0,0,0.8058,0.0,0.11105654388666153,0.031372517347335815
ConvNetBN,fc,random,dog-bird,42,0.002,100,0.0313725,5705,1.8982251503985026e-07,1,0,0.814,0.0,0.11105654388666153,0.031372517347335815
ConvNetBN,fc,random,dog-bird,42,0.002,100,0.0313725,5705,1.8982251503985026e-07,2,0,0.7934,0.0,0.11105654388666153,0.031372517347335815
ConvNetBN,fc,random,dog-bird,42,0.002,100,0.0313725,5705,1.8982251503985026e-07,3,0,0.8076,0.0,0.11105654388666153,0.031372517347335815
