model,attack,base,class_pair,pair_order,seed,budget,num_poisons,epsilon,fc_mode,lambda_margin,base_dist,num_surrogates,craft_ensemble,restarts,craft_steps,craft_alpha,target_select,num_targets,num_trials,asr_mean,asr_std,cta_post_mean,cta_post_std,cta_baseline_mean,cta_baseline_std,cta_drop_mean
ResNet20BN,fc,ours,dog-bird,poison-target,42,0.05,2500,0.0313725,sample,1.0,l2,5,5,8,250,0.0039216,10,4,16,0.5,0.30618621784789724,0.8316375,0.004641911648232875,0.838725,0.0012597122687343942,-0.007087500000000024
ResNet20BN,fc,random,dog-bird,poison-target,42,0.05,2500,0.0313725,sample,1.0,l2,5,5,8,250,0.0039216,10,4,16,0.6875,0.2724311839712921,0.833725,0.004354379978825909,0.838725,0.0012597122687343942,-0.0050000000000000044
ResNet20BN,fc,random,dog-bird,poison-target,42,0.02,1000,0.0313725,sample,1.0,l2,5,5,8,250,0.0039216,10,10,60,0.5499999999999999,0.2477678124553085,0.8356366666666667,0.004063822776100789,0.8394166666666667,0.0032168393736019068,-0.0037800000000000056
ResNet20BN,fc,random,dog-bird,poison-target,42,0.001,50,0.0313725,sample,1.0,l2,5,5,8,250,0.0039216,10,10,60,0.11666666666666665,0.15,0.8380399999999999,0.0037721435108790204,0.8394166666666667,0.0032168393736019068,-0.0013766666666668037
ResNet20BN,fc,random,dog-bird,poison-target,42,0.005,250,0.0313725,sample,1.0,l2,5,5,8,250,0.0039216,10,10,60,0.29999999999999993,0.23333333333333334,0.8371049999999999,0.0038216673935164204,0.8394166666666667,0.0032168393736019068,-0.002311666666666823
ResNet20BN,fc,random,dog-bird,poison-target,42,0.04,2000,0.0313725,sample,1.0,l2,5,5,8,250,0.0039216,10,10,60,0.4833333333333334,0.36855573979159967,0.8346666666666667,0.004206568937058119,0.8394166666666667,0.0032168393736019068,-0.004750000000000032
ResNet20BN,fc,random,dog-bird,poison-target,42,0.01,500,0.0313725,sample,1.0,l2,5,5,8,250,0.0039216,10,10,60,0.4333333333333334,0.3091206165165235,0.8361866666666666,0.0035427139628005796,0.8394166666666667,0.0032168393736019068,-0.003230000000000066
ResNet20BN,fc,random,dog-bird,poison-target,42,0.002,100,0.0313725,sample,1.0,l2,5,5,8,250,0.0039216,10,10,60,0.16666666666666666,0.14907119849998599,0.8373316666666665,0.003655383776781243,0.8394166666666667,0.0032168393736019068,-0.0020850000000002256
ConvNetBN,fc,random,frog-airplane,poison-target,42,0.005,250,0.0313725,sample,1.0,l2,5,5,8,250,0.0039216,30,4,16,0.0625,0.10825317547305482,0.8000437499999999,0.0087345555661121,0.813225,0.004943366767699926,-0.013181250000000033
ConvNetBN,fc,random,frog-airplane,poison-target,42,0.04,2000,0.0313725,sample,1.0,l2,5,5,8,250,0.0039216,30,4,16,0.1875,0.3247595264191645,0.7975249999999999,0.010655427021006707,0.81165,0.004220485754033542,-0.014125000000000054
ConvNetBN,fc,random,frog-airplane,poison-target,42,0.005,250,0.0313725,sample,1.0,l2,5,5,8,250,0.0039216,20,4,16,0.0,0.0,0.80651875,0.00776081654450741,0.813225,0.004943366767699926,-0.006706250000000025
ConvNetBN,fc,random,frog-airplane,poison-target,42,0.04,2000,0.0313725,sample,1.0,l2,5,5,8,250,0.0039216,20,4,16,0.3125,0.2724311839712921,0.80353125,0.0074120441470285296,0.813225,0.004943366767699926,-0.009693749999999945
VGG13BN,fc,random,frog-airplane,poison-target,42,0.005,250,0.0313725,sample,1.0,l2,5,5,8,250,0.0039216,5,4,20,0.05,0.08660254037844388,0.8520999999999999,0.007800640999302559,0.8451000000000001,0.016130468065124446,0.006999999999999784
VGG13BN,fc,random,dog-bird,poison-target,42,0.005,250,0.0313725,sample,1.0,l2,5,5,8,250,0.0039216,5,4,20,0.35000000000000003,0.2958039891549808,0.8549750000000002,0.007642962449207759,0.8451000000000001,0.016130468065124446,0.009875000000000078
VGG13BN,fc,random,frog-airplane,poison-target,42,0.04,2000,0.0313725,sample,1.0,l2,5,5,8,250,0.0039216,5,4,20,0.2,0.3464101615137755,0.848935,0.008633323519942953,0.8451000000000001,0.016130468065124446,0.003834999999999922
VGG13BN,fc,random,dog-bird,poison-target,42,0.04,2000,0.0313725,sample,1.0,l2,5,5,8,250,0.0039216,5,4,20,0.30000000000000004,0.1732050807568877,0.85229,0.0055505765466300795,0.8451000000000001,0.016130468065124446,0.007189999999999919
VGG13BN,fc,random,frog-airplane,poison-target,42,0.001,50,0.0313725,sample,1.0,l2,5,5,8,250,0.0039216,3,10,60,0.016666666666666666,0.049999999999999996,0.8533633333333334,0.008233386639503555,0.8476333333333333,0.015777057886550178,0.005730000000000013
VGG13BN,fc,random,dog-bird,poison-target,42,0.002,100,0.0313725,sample,1.0,l2,5,5,8,250,0.0039216,3,10,60,0.41666666666666663,0.30956959368344517,0.8525299999999999,0.008671664584534309,0.8476333333333333,0.015777057886550178,0.004896666666666549
VGG13BN,fc,random,dog-bird,poison-target,42,0.001,50,0.0313725,sample,1.0,l2,5,5,8,250,0.0039216,3,10,60,0.21666666666666665,0.18333333333333332,0.8534483333333333,0.009061061226785502,0.8476333333333333,0.015777057886550178,0.005814999999999904
VGG13BN,fc,random,dog-bird,poison-target,42,0.005,250,0.0313725,sample,1.0,l2,5,5,8,250,0.0039216,3,10,60,0.4499999999999999,0.23629078131263043,0.8542233333333333,0.008732055249990633,0.8476333333333333,0.015777057886550178,0.006589999999999985
VGG13BN,fc,random,frog-airplane,poison-target,42,0.005,250,0.0313725,sample,1.0,l2,5,5,8,250,0.0039216,3,10,60,0.03333333333333333,0.06666666666666667,0.853005,0.007502409057540561,0.8476333333333333,0.015777057886550178,0.0053716666666666635
VGG13BN,fc,random,frog-airplane,poison-target,42,0.01,500,0.0313725,sample,1.0,l2,5,5,8,250,0.0039216,3,10,60,0.13333333333333333,0.1452966314513558,0.85356,0.007215612702097212,0.8476333333333333,0.015777057886550178,0.005926666666666636
VGG13BN,fc,random,dog-bird,poison-target,42,0.02,1000,0.0313725,sample,1.0,l2,5,5,8,250,0.0039216,3,10,60,0.6166666666666666,0.35000000000000003,0.8532233333333333,0.010887995938443196,0.8476333333333333,0.015777057886550178,0.005589999999999984
VGG13BN,fc,random,frog-airplane,poison-target,42,0.02,1000,0.0313725,sample,1.0,l2,5,5,8,250,0.0039216,3,10,60,0.1,0.19999999999999998,0.8545,0.007559166620732742,0.8476333333333333,0.015777057886550178,0.006866666666666688
VGG13BN,fc,random,dog-bird,poison-target,42,0.01,500,0.0313725,sample,1.0,l2,5,5,8,250,0.0039216,3,10,60,0.4166666666666667,0.2608745973749755,0.852955,0.009500235523396244,0.8476333333333333,0.015777057886550178,0.005321666666666669
VGG13BN,fc,random,frog-airplane,poison-target,42,0.04,2000,0.0313725,sample,1.0,l2,5,5,8,250,0.0039216,3,10,60,0.16666666666666666,0.25819888974716115,0.8524283333333335,0.0083974419054588,0.8476333333333333,0.015777057886550178,0.004795000000000105
VGG13BN,fc,random,dog-bird,poison-target,42,0.04,2000,0.0313725,sample,1.0,l2,5,5,8,250,0.0039216,3,10,60,0.7499999999999999,0.17078251276599332,0.8501600000000001,0.009471311067288064,0.8476333333333333,0.015777057886550178,0.002526666666666788
